gene_id	X_Eggs_R1	X_Eggs_R2	X_Eggs_R3	X_Eggs_R4	X_Eggs_R5	X_Miracidia_R1	X_Miracidia_R2	X_Miracidia_R3	X_Miracidia_R4	X_Miracidia_R5	X_1d_Sporocysts_R1	X_1d_Sporocysts_R2	X_1d_Sporocysts_R3	X_1d_Sporocysts_R4	X_1d_Sporocysts_R5	X_5d_Sporocysts_R1	X_5d_Sporocysts_R2	X_5d_Sporocysts_R3	X_5d_Sporocysts_R4	X_5d_Sporocysts_R5	F_32d_Sporocysts_R1	F_32d_Sporocysts_R2	F_32d_Sporocysts_R3	F_32d_Sporocysts_R4	F_32d_Sporocysts_R5	M_32d_Sporocysts_R1	M_32d_Sporocysts_R2	M_32d_Sporocysts_R3	M_32d_Sporocysts_R4	M_32d_Sporocysts_R5	X_32d_Sporocysts_R1	X_32d_Sporocysts_R2	X_32d_Sporocysts_R3	X_32d_Sporocysts_R4	X_32d_Sporocysts_R5	F_Cercariae_R1	F_Cercariae_R2	F_Cercariae_R3	F_Cercariae_R4	F_Cercariae_R5	M_Cercariae_R1	M_Cercariae_R2	M_Cercariae_R3	M_Cercariae_R4	M_Cercariae_R5	X_Cercariae_R1	X_Cercariae_R2	X_Cercariae_R3	X_Cercariae_R4	X_Cercariae_R5	F_2d_Somules_R1	F_2d_Somules_R2	F_2d_Somules_R3	F_2d_Somules_R4	F_2d_Somules_R5	M_2d_Somules_R1	M_2d_Somules_R2	M_2d_Somules_R3	M_2d_Somules_R4	M_2d_Somules_R5	X_2d_Somules_R1	X_2d_Somules_R2	X_2d_Somules_R3	X_2d_Somules_R4	X_2d_Somules_R5	F_26d_Juveniles_R1	F_26d_Juveniles_R2	F_26d_Juveniles_R3	F_26d_Juveniles_R4	F_26d_Juveniles_R5	M_26d_Juveniles_R1	M_26d_Juveniles_R2	M_26d_Juveniles_R3	M_26d_Juveniles_R4	M_26d_Juveniles_R5
gene:Smp_070680	50.690559	31.397308	38.907826	45.173306	65.604242	25.668538	21.587684	8.338579	28.959439	41.367897	72.809785	54.889988	72.649029	81.294735	62.266858	42.534944	41.753394	42.87831	26.195268	35.460533	31.294923	23.886645	23.068043	15.158373	32.821946	24.019768	28.112199	27.468736	23.722659	26.938701	26.352958	36.227577	29.768467	18.847858	33.070025	20.27153	24.995347	30.156923	36.958791	20.119183	24.844716	24.089438	26.01479	19.561909	20.629084	25.824205	26.324019	27.239043	23.52919	27.768332	28.036943	41.075601	46.298761	47.186342	36.379105	56.002734	47.670125	60.804152	48.875064	59.163229	38.648459	47.567177	39.973784	46.483001	44.530505	38.754559	29.750346	34.800131	29.785083	41.314599	26.241755	25.460236	33.739666	27.942495	32.913463
transcript:Smp_350520	14.592175	21.885764000000002	2.660009	19.510225	8.377041	14.81952	0.642665	1.162958	8.638033	24.352677	5.022633	2.784831	3.491243	4.078758	3.562647	2.137488	2.690985	1.422631	0.885707	1.845343	0	0	0	0.065717	0.455978	0	0.387354	0.173526	0.05928	0.047869	0.187952	0.106188	0.400885	0	0.318763	0	0	0	0	0	0	0	0	0.021729	0	0	0	0	0.030901	0	0.201544	0.093934	0	0	0.107125	0.095399	0	0	0	0	0.063687	0.070392	0.054394	0	0	0.082068	0	0	0.075645	0.115469	0	0	0.075202	0	0
transcript:Smp_350530	0	0.531594	0.335485	0.165421	0.454628	0	0.264191	0	0.421092	0.358298	0.694453	0.218926	0.363388	0.15971	0.342597	0	0.187537	0.072506	0.21244	0.691557	0	1.001887	0	0	0.989079	0	0	0.657984	0	0	0	0	0	0	0	0	0.413573	0	0.671273	0.222351	0	0	0	0	0	0.076966	0	0.40078	0	0.172373	0.219101	0	0.643658	0.76227	1.528263	0	0	0	0	0	0.309549	0	0.644972	0	0.654385	0.204487	0.326281	0.377222	0.616201	0.503491	0	0	0	0	0
