gene_id	X_Eggs_R1	X_Eggs_R2	X_Eggs_R3	X_Eggs_R4	X_Eggs_R5	X_Miracidia_R1	X_Miracidia_R2	X_Miracidia_R3	X_Miracidia_R4	X_Miracidia_R5	X_1d_Sporocysts_R1	X_1d_Sporocysts_R2	X_1d_Sporocysts_R3	X_1d_Sporocysts_R4	X_1d_Sporocysts_R5	X_5d_Sporocysts_R1	X_5d_Sporocysts_R2	X_5d_Sporocysts_R3	X_5d_Sporocysts_R4	X_5d_Sporocysts_R5	F_32d_Sporocysts_R1	F_32d_Sporocysts_R2	F_32d_Sporocysts_R3	F_32d_Sporocysts_R4	F_32d_Sporocysts_R5	M_32d_Sporocysts_R1	M_32d_Sporocysts_R2	M_32d_Sporocysts_R3	M_32d_Sporocysts_R4	M_32d_Sporocysts_R5	X_32d_Sporocysts_R1	X_32d_Sporocysts_R2	X_32d_Sporocysts_R3	X_32d_Sporocysts_R4	X_32d_Sporocysts_R5	F_Cercariae_R1	F_Cercariae_R2	F_Cercariae_R3	F_Cercariae_R4	F_Cercariae_R5	M_Cercariae_R1	M_Cercariae_R2	M_Cercariae_R3	M_Cercariae_R4	M_Cercariae_R5	X_Cercariae_R1	X_Cercariae_R2	X_Cercariae_R3	X_Cercariae_R4	X_Cercariae_R5	F_2d_Somules_R1	F_2d_Somules_R2	F_2d_Somules_R3	F_2d_Somules_R4	F_2d_Somules_R5	M_2d_Somules_R1	M_2d_Somules_R2	M_2d_Somules_R3	M_2d_Somules_R4	M_2d_Somules_R5	X_2d_Somules_R1	X_2d_Somules_R2	X_2d_Somules_R3	X_2d_Somules_R4	X_2d_Somules_R5	F_26d_Juveniles_R1	F_26d_Juveniles_R2	F_26d_Juveniles_R3	F_26d_Juveniles_R4	F_26d_Juveniles_R5	M_26d_Juveniles_R1	M_26d_Juveniles_R2	M_26d_Juveniles_R3	M_26d_Juveniles_R4	M_26d_Juveniles_R5
gene:Smp_070680	3238.013	1338.298	2618.991	2486.205	3304.371	851.313	3366.362	385.782	1535.559	2590.883	4674.843	4484.07	4508.422	4548.206	4095.162	2096.438	2008.06	2708.226	1694.412	2334.85	301.662	327.224	448.707	283.753	607.952	276.988	569.367	382.662	468.149	689.446	1110.422	821.138	350.451	293.417	371.904	607.751	810.9	813.554	1004.235	814.818	630.677	939.85	1153.381	1007.789	1080.269	1518.987	973.596	1246.23	851.566	1432.984	1711.176	978.416	1286.361	1650.867	1139.454	3674.821	3097.699	2778.563	1351.871	2620.472	2791.427	3287.895	4677.776	1503.718	929.834	2103.494	821.891	842.315	440.633	1894.421	568.29	887.942	1752.797	1181.149	1560.915
transcript:Smp_350520	833.138	833.695	160.041	959.651	376.913	439.576	89.523	48.153	409.535	1363.553	288.357	203.419	193.643	204.032	209.415	94.149	115.683	80.256	51.177	108.577	0	0	0	1.099	7.545	0	7.009	2.16	1.045	1.095	7.078	2.15	4.219	0	3.206	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	11.001	2	0	0	3	5.594	0	0	0	0	4.113	4.35	5.693	0	0	3.984	0	0	1	4.729	0	0	3.489	0	0
transcript:Smp_350530	0	5	5	2	5	0	9	0	5	5	10	4	5	2	5	0	2	1	3	10	0	3	0	0	4	0	0	2	0	0	0	0	0	0	0	0	3	0	4	2	0	0	0	0	0	1	0	4	0	2	3	0	4	6	10.661	0	0	0	0	0	5	0	17	0	3	2.494	2	2	2	5	0	0	0	0	0
