gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Smp_348380	10577.892756432433	14.321254346893724	0.9955833777799185	14.384786514645436	6.447675198411711e-47	3.001239288784499e-44
Smp_348940	14151.577525496763	11.349426975576636	0.7897324307817434	14.371230727275593	7.842508656745219e-47	3.4845691872583867e-44
Smp_330790	5031.13461227341	13.277801736920159	0.9275485425410588	14.314940003619707	1.7651641033351783e-46	7.501947439174508e-44
Smp_346850	3152.0197456089927	10.908531052999608	0.765393746921416	14.252182091735328	4.3448958937400454e-46	1.7696398900545393e-43
Smp_327490	19045.005427025	13.760158512898615	0.9692472083437769	14.196748150981623	9.596317602895877e-46	3.752160182732288e-43
Smp_078590	8324.446036252119	8.322992236117924	0.5871805080255118	14.174503619177202	1.317715884998322e-45	4.954104913791768e-43
Smp_349680	1559.8184290444365	10.761831065675105	0.7602743908706382	14.155193433979873	1.734597990702007e-45	6.279887170041525e-43
Smp_327540	17136.62127380458	12.123090188656718	0.8578588881286304	14.13179994567934	2.4188186931492375e-45	8.444268830547784e-43
Smp_349260	1862.551752898625	8.838110308619044	0.6314525901551201	13.996474868284107	1.6379604098629987e-44	5.521056209107177e-42
Smp_349810	6887.750723552216	10.226510232171185	0.7319321592937604	13.97193729271128	2.312496067400831e-44	7.534883019614375e-42
Smp_348930	17328.41328589836	9.803641793431428	0.7027532359328206	13.950333192586827	3.131390683846711e-44	9.873981914387613e-42
Smp_340140	5058.960958280871	8.988069883021943	0.6452921842769168	13.92868238919326	4.241073255218074e-44	1.2955153459298962e-41
Smp_324300	5510.4748658274875	7.365015737505395	0.5296245444784653	13.906107287300879	5.815976596202463e-44	1.722762764481184e-41
Smp_102020	1341.1929044108374	10.52482209190663	0.7579168844531211	13.886512238740888	7.646923661564841e-44	2.198490552699892e-41
Smp_328750	14491.469113394787	9.048406600605727	0.6527442780683014	13.862100219986802	1.0748271432981118e-43	3.0018386644968693e-41
Smp_086630	3984.977838256052	11.53249019333008	0.8333828379594449	13.83816616810543	1.4998425974945071e-43	4.0724892751413353e-41
Smp_331970	1164.0324235486814	8.535544874205042	0.6169012235247088	13.836161363786253	1.5422530757287406e-43	4.0744658960130913e-41
